DocNumber,Reference,Cited
7201580,"Success Maker Courseware brochure, published by Computer Curriculum Corporation Dec. 1994. ",cited by other .
7201580,"Active Mind Series from World Wide Web, URL=http://www.broderbund.com/studio/ams.html 1996. ",cited by other .
7201580,"Logical Journal of the Zoombinis from World Wide Web, URL:=http://www.broderbund.com/studio/atoz/zoombini.html 1996. ",cited by other .
7201580,"Selecting Software by PC Novice Series, vol. 3, Issue 12, pp. 51, 64, and 89-92. 1995. ",cited by other .
7201580,"Computerized Adaptive Testing, Oct. 24, 1994, from World Wide Web, URL=Gopher://Gopher.ETS.org. ",cited by other .
7201580,"Innovation and Technologies, Oct. 21, 1994, from World Wide Web, URL=Gopher://Gopher.ETS.org. ",cited by other .
7201580,"Interactive Mathematic Instructor's Guide by Academic Systems, pp. 86 and 114. Aug. 1995. ",cited by other .
7201580,"High School Learning and Resource Library by ProOne, photocopy of the box and screen-dump to get 5 pages 1995. ",cited by other .
7201580,Asymetrix Librarian from www.asymetrix.com/products/librarian 1998. ,cited by other .
7201580,PeopleSoft Human Resources Management Solution 1998. ,cited by other .
7201580,CareerMosaic URL=http://www.careermosaic.com 1998. ,cited by other .
7201580,Career.com www.career.com 1994-1999. ,cited by other .
7201580,CareerPath.com www.careerpath.com 1997-1999. ,cited by other .
7201580,America's Learning Exchange www.alx.org 1998. ,cited by other .
7201580,Telecommunications Industry by Nova 1996. ,cited by other .
7201580,FreeLearning.com www.freelearning.com 1999. ,cited by other .
7201580,Youth@work by Nova Private Industry Council www.youthatwork.com 1997. ,cited by other .
7201580,"Computer based training-A report of a NATO study visit to America. A.P. Report 91 by Patrick, pp. 1-29 Jan. 1980. ",cited by other .
7201580,"Improving the Selection, classification, and utilization of army enlisted personnel: Annual Report synopsis, 1984 Fiscal Year, Human Resources Organization, Alexandria, Va., pp. v, viixx, and 1-40 Jul. 1985. ",cited by other .
7201580,"Mendel: An Intelligent Computer Tutoring System For Genetics Problem-Solving, Conjecturing, and Understanding, by Streibel et al. Machine-Medicated Learning, vol. 2, No. 1 & 2, pp. 129-159 1987. ",cited by other .
7201580,"Getting Serious about SAT software, By Harvey et al., National Council of Teachers of Mathematics, pp. 440-454. Sep. 1987. ",cited by other .
